Name,Link to back sync,Variables (from Name copy),Title,CF Standard Name,Proposed CF Standard Name,Units,UID,Processing Note,Processing Comment,Provenance,Name Validation,Review Status (internal)
fsitherm,fsitherm,Omon.fsitherm,Water Flux into Sea Water Due to Sea Ice Thermodynamics,water_flux_into_sea_water_due_to_sea_ice_thermodynamics,,kg m-2 s-1,f718ef1940e6feab018d81f508bd87c2,si,,OMIP.Omon,1,Existing physical parameter
rsdsis,rsdsis,,Surface Downwelling Shortwave Radiation over Ice Sheets,surface_downwelling_shortwave_flux_in_air,,W m-2,80ab71e2-a698-11ef-914a-613c0433d878,si,,,1,Junk
rsdslni,rsdslni,"Emon.rsdslni, Emon.rsdslni_junk",Surface Downwelling Shortwave Radiation over Land Not Covered by Ice Sheets or Snow,surface_downwelling_shortwave_flux_in_air,,W m-2,80ab71e4-a698-11ef-914a-613c0433d878,si,,,1,Accepted for CMIP7
rsdsoni,rsdsoni,Emon.rsdsoni,Surface Downwelling Shortwave Radiation over Ocean Not Covered by Sea Ice,surface_downwelling_shortwave_flux_in_air,,W m-2,80ab71e6-a698-11ef-914a-613c0433d878,si,,,1,Accepted for CMIP7
rsdssi,rsdssi,Emon.rsdssi,Surface Downwelling Shortwave Radiation over Sea Ice,surface_downwelling_shortwave_flux_in_air,,W m-2,80ab71e0-a698-11ef-914a-613c0433d878,si,,,1,Accepted for CMIP7
rsusIs,rsusIs,"LImon.rsusIs, Emon.rsusIs",Ice Sheet Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,,W m-2,53828236-bf01-11e6-a554-ac72891c3257,si,,CMIP6 [ISMIP6],1,Existing physical parameter
rsusis,rsusis,,Surface Upwelling Shortwave Radiation over Ice Sheets,surface_upwelling_shortwave_flux_in_air,,W m-2,80ab71e3-a698-11ef-914a-613c0433d878,si,,,1,Junk
rsuslni,rsuslni,Emon.rsuslni,Surface Upwelling Shortwave Radiation over Land Not Covered by Ice Sheets or Snow,surface_upwelling_shortwave_flux_in_air,,W m-2,80ab71e5-a698-11ef-914a-613c0433d878,si,,,1,Accepted for CMIP7
rsusoni,rsusoni,Emon.rsusoni,Surface Upwelling Shortwave Radiation over Ocean Not Covered by Sea Ice,surface_upwelling_shortwave_flux_in_air,,W m-2,80ab71e7-a698-11ef-914a-613c0433d878,si,,,1,Accepted for CMIP7
rsussi,rsussi,Emon.rsussi,Surface Upwelling Shortwave Radiation over Sea Ice,surface_upwelling_shortwave_flux_in_air,,W m-2,80ab71e1-a698-11ef-914a-613c0433d878,si,,,1,Accepted for CMIP7
sfdsi,sfdsi,"Odec.sfdsi, SImon.sfdsi, Omon.sfdsi, 3hr.sfdsi",Downward Sea Ice Basal Salt Flux,downward_sea_ice_basal_salt_flux,,kg m-2 s-1,8d0958ad5a4eabc97fc1896e847b00fe,si,,"CMIP5_Omon,PMIP3_Oclim,PMIP3_Omon",1,Existing physical parameter
siage,siage,"SImon.siage, SIday.siage, SImon.siageSouth30",Age of Sea Ice,age_of_sea_ice,,s,5917369e-9e49-11e5-803c-0d0b866b59f3,si,CHANGE SINCE CMIP6 in Description,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sialb,sialb,SIday.sialb,Albedo of sea-ice covered surface,surface_albedo,,1,f86eb6ca-8ca1-11ef-944e-41a8eb05f654,si,,,1,Junk
sialgc,sialgc,"SImon.sialgc, SIday.sialgc",Total Ice Algal Carbon Amount in Sea Ice,sea_ice_mole_content_of_ice_algae_expressed_as_carbon,mole_content_of_ice_algae_expressed_as_carbon_in_sea_ice,mol m-2,f86eb6cb-8ca1-11ef-944e-41a8eb05f654,si,,,1,Accepted for CMIP7
siareaacrossline,siareaacrossline,SImon.siareaacrossline,Sea-Ice Area Flux Through Straits,sea_ice_area_transport_across_line,,m2 s-1,73097b4c-7a68-11e6-8db2-ac72891c3257,si,CHANGE SINCE CMIP6 in Description,CMIP6 endorsement [SIMIP],1,Existing physical parameter
siarean,siarean,"SImon.siarean, SIday.siarean",Sea-Ice Area North,sea_ice_area,,1e6 km2,59139a70-9e49-11e5-803c-0d0b866b59f3,si,CHANGE SINCE CMIP6 in Description,CMIP6 endorsement [SIMIP],1,Existing physical parameter
siareas,siareas,"SImon.siareas, SIday.siareas",Sea-Ice Area South,sea_ice_area,,1e6 km2,59139548-9e49-11e5-803c-0d0b866b59f3,si,CHANGE SINCE CMIP6 in Description,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sichl,sichl,"SIday.sichl, SImon.sichl",Amount of Total Ice Algae Expressed as Chlorophyll in Sea Ice,sea_ice_mass_content_of_ice_algae_expressed_as_chlorophyll,amount_ice_algae_expressed_as_chlorophyll_in_sea_ice,kg m-2,f86eb6cc-8ca1-11ef-944e-41a8eb05f654,si,,,1,Accepted for CMIP7
sicompstren,sicompstren,SImon.sicompstren,Compressive Sea Ice Strength,compressive_strength_of_sea_ice,,N m-1,590e9390-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
siconc,siconc,"SIday.siconc, SImon.siconc, SImon.siconcSouth30",Sea-Ice Area Percentage (Ocean Grid),sea_ice_area_fraction,,%,150ada98-357c-11e7-8257-5404a60d96b5,si,CHANGE SINCE CMIP6 in Title and Units and Description - CMIP6:Sea-Ice Area Percentage (Ocean Grid) and % CMIP7:Sea-Ice Area Fraction (Ocean Grid) and 1,CMIP6 endorsement [SIMIP],1,Existing physical parameter
siconca,siconca,"SImon.siconca, SIday.siconca",Sea-Ice Area Percentage (Atmospheric Grid),sea_ice_area_fraction,,%,5914ab90-9e49-11e5-803c-0d0b866b59f3,si,CHANGE SINCE CMIP6 in Title and Units and Description - CMIP6:Sea-Ice Area Percentage (Atmospheric Grid) and % CMIP7:Sea-Ice Area Fraction (Atmospheric Grid) and 1,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sidconcdyn,sidconcdyn,SImon.sidconcdyn,Sea-Ice Area Fraction Tendency Due to Dynamics,tendency_of_sea_ice_area_fraction_due_to_dynamics,,s-1,590ee584-9e49-11e5-803c-0d0b866b59f3,si,CHANGE SINCE CMIP6 in Title - CMIP6:Sea-Ice Area Percentage Tendency Due to Dynamics CMIP7:Sea-Ice Area Fraction Tendency Due to Dynamics,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sidconcth,sidconcth,SImon.sidconcth,Sea-Ice Area Fraction Tendency Due to Thermodynamics,tendency_of_sea_ice_area_fraction_due_to_thermodynamics,,s-1,590dc60e-9e49-11e5-803c-0d0b866b59f3,si,CHANGE SINCE CMIP6 in Title - CMIP6:Sea-Ice Area Percentage Tendency Due to Thermodynamics CMIP7:Sea-Ice Area Fraction Tendency Due to Thermodynamics,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sidivvel,sidivvel,SImon.sidivvel,Divergence of the Sea-Ice Velocity Field,divergence_of_sea_ice_velocity,,s-1,590d7924-9e49-11e5-803c-0d0b866b59f3,si,CHANGE SINCE CMIP6 in Description,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sidmassdyn,sidmassdyn,SImon.sidmassdyn,Sea-Ice Mass Change from Dynamics,tendency_of_sea_ice_amount_due_to_sea_ice_dynamics,,kg m-2 s-1,591357b8-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sidmassevapsubl,sidmassevapsubl,SImon.sidmassevapsubl,Sea-Ice Mass Change Through Evaporation and Sublimation,water_evapotranspiration_flux,,kg m-2 s-1,59146180-9e49-11e5-803c-0d0b866b59f3,si,CHANGE SINCE CMIP6 in Description,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sidmassgrowthbot,sidmassgrowthbot,SImon.sidmassgrowthbot,Sea-Ice Mass Change Through Basal Growth,tendency_of_sea_ice_amount_due_to_congelation_ice_accumulation,,kg m-2 s-1,590db4ac-9e49-11e5-803c-0d0b866b59f3,si,CHANGE SINCE CMIP6 in Description,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sidmassgrowthsi,sidmassgrowthsi,SImon.sidmassgrowthsi,Sea-Ice Mass Change Through Snow-to-Ice Conversion,tendency_of_sea_ice_amount_due_to_conversion_of_snow_to_sea_ice,,kg m-2 s-1,590d3518-9e49-11e5-803c-0d0b866b59f3,si,CHANGE SINCE CMIP6 in Name - CMIP6:sidmasssi CMIP7:sidmassgrowthsi,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sidmassgrowthwat,sidmassgrowthwat,SImon.sidmassgrowthwat,Sea-Ice Mass Change Through Growth in Supercooled Open Water (Frazil),tendency_of_sea_ice_amount_due_to_frazil_ice_accumulation_in_leads,,kg m-2 s-1,59149c7c-9e49-11e5-803c-0d0b866b59f3,si,CHANGE SINCE CMIP6 in Description,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sidmassmeltbot,sidmassmeltbot,SImon.sidmassmeltbot,Sea-Ice Mass Change Through Bottom Melting,tendency_of_sea_ice_amount_due_to_basal_melting,,kg m-2 s-1,5917ea6c-9e49-11e5-803c-0d0b866b59f3,si,CHANGE SINCE CMIP6 in Description,CMIP6 endorsement [SIMIP],1,Existing physical parameter
