Name,Link to back sync,Variables (from Name copy),Title,CF Standard Name,Proposed CF Standard Name,Units,UID,Processing Note,Processing Comment,Provenance,Name Validation,Review Status (internal)
siflsenstop,siflsenstop,"SImon.siflsenstop, SIday.siflsenstop",Net Downward Sensible Heat Flux over Sea Ice,surface_downward_sensible_heat_flux,,W m-2,590dbb78-9e49-11e5-803c-0d0b866b59f3,si,CHANGE SINCE CMIP6 in Title and CF Standard Name and Description - CMIP6:Net Upward Sensible Heat Flux over Sea Ice and surface_upward_sensible_heat_flux CMIP7:Net Downward Sensible Heat Flux over Sea Ice and surface_downward_sensible_heat_flux,CMIP6 endorsement [SIMIP],1,Existing physical parameter
siflswdbot,siflswdbot,"SImon.siflswdbot, SIday.siflswdbot",Downwelling Shortwave Flux under Sea Ice,downwelling_shortwave_flux_in_sea_water_at_sea_ice_base,,W m-2,590f5672-9e49-11e5-803c-0d0b866b59f3,si,"CHANGE SINCE CMIP6 in Title and Description - CMIP6: Downwelling Shortwave Flux Under Sea Ice, CMIP7: Downwelling Shortwave Flux under Sea Ice",CMIP6 endorsement [SIMIP],1,Existing physical parameter
siflswdtop,siflswdtop,"SImon.siflswdtop, SIday.siflswdtop",Downwelling Shortwave Flux over Sea Ice,surface_downwelling_shortwave_flux_in_air,,W m-2,590f2f8a-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
siflswutop,siflswutop,"SImon.siflswutop, SIday.siflswutop",Upwelling Shortwave Flux over Sea Ice,surface_upwelling_shortwave_flux_in_air,,W m-2,5917e51c-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
siforcecoriolx,siforcecoriolx,SImon.siforcecoriolx,Coriolis Force Term in Force Balance (X-Component),sea_ice_x_force_per_unit_area_due_to_coriolis_effect,,N m-2,590e3ee0-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
siforcecorioly,siforcecorioly,SImon.siforcecorioly,Coriolis Force Term in Force Balance (Y-Component),sea_ice_y_force_per_unit_area_due_to_coriolis_effect,,N m-2,590d4fc6-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
siforceintstrx,siforceintstrx,SImon.siforceintstrx,Internal Stress Term in Force Balance (X-Component),sea_ice_x_internal_stress,,N m-2,590df8a4-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
siforceintstry,siforceintstry,SImon.siforceintstry,Internal Stress Term in Force Balance (Y-Component),sea_ice_y_internal_stress,,N m-2,590df5e8-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
siforcetiltx,siforcetiltx,SImon.siforcetiltx,Sea-Surface Tilt Term in Force Balance (X-Component),sea_ice_x_force_per_unit_area_due_to_sea_surface_tilt,,N m-2,590ed33c-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
siforcetilty,siforcetilty,SImon.siforcetilty,Sea-Surface Tilt Term in Force Balance (Y-Component),sea_ice_y_force_per_unit_area_due_to_sea_surface_tilt,,N m-2,590d7654-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sigpp,sigpp,"SIday.sigpp, SImon.sigpp",Gross Primary Productivity in Sea Ice as Carbon Amount Flux,gross_primary_productivity_of_biomass_expressed_as_carbon_due_to_ice_algae_in_sea_ice,gross_primary_productivity_of_biomass_expressed_as_carbon_in_sea_ice,kg m-2 s-1,f86eb6ce-8ca1-11ef-944e-41a8eb05f654,si,,,1,Accepted for CMIP7
sihc,sihc,"SImon.sihc, SIday.sihc",Sea-Ice Heat Content,sea_ice_enthalpy_content,sea_ice_enthalpy_content,J m-2,590f9d30-9e49-11e5-803c-0d0b866b59f3,si,"CHANGE SINCE CMIP6 in Title and Description - CMIP6: Sea-Ice Heat Content per Unit Area, CMIP7: Sea-Ice Heat Content. CHANGE In CF Standard Name - CMIP6: sea_ice_temperature_expressed_as_heat_content, CMIP7: sea_ice_enthalpy_content",CMIP6 endorsement [SIMIP],1,Existing physical parameter
siitdconc,siitdconc,"SImon.siitdconc, SIday.siitdconc",Sea-Ice Area Percentage in Ice Thickness Categories,sea_ice_area_fraction,,%,590d98b4-9e49-11e5-803c-0d0b866b59f3,si,"CHANGE SINCE CMIP6 in Title and Units - CMIP6: Sea-Ice Area Percentages in Thickness Categories and %, CMIP7: Sea-Ice Area Fractions in Ice Thickness Categories and 1",CMIP6 endorsement [SIMIP],1,Existing physical parameter
siitdsnconc,siitdsnconc,"SImon.siitdsnconc, SIday.siitdsnconc",Snow Area Percentage in Ice Thickness Categories,surface_snow_area_fraction,,%,590f0442-9e49-11e5-803c-0d0b866b59f3,si,"CHANGE SINCE CMIP6 in Title and Units - CMIP6: Snow Area Percentages in Ice Thickness Categories and %, CMIP7: Snow Area Fractions in Ice Thickness Categories and 1",CMIP6 endorsement [SIMIP],1,Existing physical parameter
siitdsnthick,siitdsnthick,"SImon.siitdsnthick, SIday.siitdsnthick",Snow Thickness in Ice Thickness Categories,surface_snow_thickness,,m,590dfdc2-9e49-11e5-803c-0d0b866b59f3,si,,CMIP6 endorsement [SIMIP],1,Existing physical parameter
siitdthick,siitdthick,"SImon.siitdthick, SIday.siitdthick",Sea-Ice Thickness in Ice Thickness Categories,sea_ice_thickness,,m,59133288-9e49-11e5-803c-0d0b866b59f3,si,"CHANGE SINCE CMIP6 in Title - CMIP6: Sea-Ice Thickness in Thickness Categories, CMIP7: Sea-Ice Thickness in Ice Thickness Categories",CMIP6 endorsement [SIMIP],1,Existing physical parameter
